path,exists,scan_markers,dispatch_markers,audit_method,status
crates/core/src/tools/update_plan.rs,yes,0,0,automated_static_scan,scanned
crates/core/src/tools/verify.rs,yes,0,0,automated_static_scan,scanned
crates/core/src/tools/wait_tool.rs,yes,0,1,automated_static_scan,scanned
crates/core/src/tools/web.rs,yes,0,1,automated_static_scan,scanned
crates/core/src/tools/write.rs,yes,0,1,automated_static_scan,scanned
crates/core/src/updater.rs,yes,0,3,automated_static_scan,scanned
crates/core/src/verify.rs,yes,0,2,automated_static_scan,scanned
crates/core/src/workspace/mod.rs,yes,0,2,automated_static_scan,scanned
crates/core/src/worktree.rs,yes,0,1,automated_static_scan,scanned
crates/index/src/chunker.rs,yes,0,4,automated_static_scan,scanned
crates/index/src/embedder.rs,yes,0,0,automated_static_scan,scanned
crates/index/src/lib.rs,yes,0,1,automated_static_scan,scanned
crates/index/src/search.rs,yes,0,0,automated_static_scan,scanned
crates/index/src/store.rs,yes,0,1,automated_static_scan,scanned
crates/index/src/watcher.rs,yes,0,5,automated_static_scan,scanned
crates/provider/src/anthropic.rs,yes,0,6,automated_static_scan,scanned
crates/provider/src/claude_sdk.rs,yes,0,0,automated_static_scan,scanned
crates/provider/src/codex.rs,yes,0,0,automated_static_scan,scanned
crates/provider/src/cursor.rs,yes,0,3,automated_static_scan,scanned
crates/provider/src/error.rs,yes,0,1,automated_static_scan,scanned
crates/provider/src/gemini.rs,yes,0,8,automated_static_scan,scanned
crates/provider/src/lib.rs,yes,0,4,automated_static_scan,scanned
crates/provider/src/list_models.rs,yes,0,1,automated_static_scan,scanned
crates/provider/src/model_cache.rs,yes,0,1,automated_static_scan,scanned
crates/provider/src/openai.rs,yes,0,7,automated_static_scan,scanned
crates/provider/src/sse.rs,yes,0,1,automated_static_scan,scanned
crates/provider/src/types.rs,yes,0,7,automated_static_scan,scanned
crates/tui/src/app.rs,yes,1,43,automated_static_scan,scanned
crates/tui/src/completion.rs,yes,0,9,automated_static_scan,scanned
crates/tui/src/components/chat.rs,yes,0,8,automated_static_scan,scanned
crates/tui/src/components/footer.rs,yes,0,1,automated_static_scan,scanned
crates/tui/src/components/input_box.rs,yes,0,3,automated_static_scan,scanned
crates/tui/src/components/mod.rs,yes,0,0,automated_static_scan,scanned
crates/tui/src/components/plan_banner.rs,yes,0,0,automated_static_scan,scanned
crates/tui/src/components/selector.rs,yes,2,4,automated_static_scan,scanned
crates/tui/src/components/text_prompt.rs,yes,5,2,automated_static_scan,scanned
crates/tui/src/components/todo_panel.rs,yes,0,2,automated_static_scan,scanned
crates/tui/src/components/update_banner.rs,yes,0,2,automated_static_scan,scanned
crates/tui/src/components/welcome.rs,yes,0,0,automated_static_scan,scanned
crates/tui/src/export.rs,yes,0,5,automated_static_scan,scanned
crates/tui/src/highlight.rs,yes,0,3,automated_static_scan,scanned
crates/tui/src/history.rs,yes,0,0,automated_static_scan,scanned
crates/tui/src/input.rs,yes,0,130,automated_static_scan,scanned
crates/tui/src/lib.rs,yes,0,0,automated_static_scan,scanned
crates/tui/src/logo.rs,yes,0,0,automated_static_scan,scanned
crates/tui/src/spinner.rs,yes,0,0,automated_static_scan,scanned
crates/tui/src/theme.rs,yes,0,11,automated_static_scan,scanned
crates/tui/src/ui.rs,yes,0,0,automated_static_scan,scanned
